est_dist(m)	true_dist(m)	squared_error(m^2)
1.619	1.631	0.01176
1.653	1.631	0.02226
1.670	1.631	0.03883
1.682	1.631	0.05098
1.691	1.631	0.06009
1.658	1.631	0.02667
1.632	1.631	0.00059
1.611	1.631	0.02007
1.643	1.631	0.01184
1.649	1.631	0.01761
1.675	1.577	0.09781
1.655	1.577	0.07839
1.661	1.577	0.08431
1.642	1.577	0.06460
1.631	1.577	0.05431
1.619	1.577	0.04156
1.628	1.577	0.05124
1.642	1.577	0.06511
1.658	1.577	0.08103
1.679	1.577	0.10190
1.688	1.577	0.11080
1.683	1.550	0.13283
1.694	1.550	0.14400
1.676	1.550	0.12555
1.697	1.550	0.14691
1.676	1.550	0.12610
1.653	1.550	0.10251
1.634	1.550	0.08390
1.647	1.550	0.09654
1.622	1.550	0.07197
1.606	1.550	0.05637
1.632	1.550	0.08151
1.636	1.455	0.18066
1.614	1.455	0.15893
1.625	1.455	0.16961
1.618	1.455	0.16252
1.595	1.455	0.14011
1.589	1.455	0.13411
1.614	1.455	0.15878
1.589	1.455	0.13426
1.592	1.455	0.13738
1.611	1.455	0.15641
1.660	1.455	0.20512
1.605	1.455	0.14958
1.575	1.455	0.11952
1.559	1.455	0.10359
1.577	1.455	0.12240
1.564	1.455	0.10942
1.566	1.455	0.11125
1.564	1.455	0.10853
1.569	1.455	0.11424
1.574	1.455	0.11914
1.555	1.537	0.01772
1.542	1.537	0.00452
1.534	1.537	0.00283
1.501	1.537	0.03605
1.564	1.537	0.02672
1.552	1.537	0.01495
1.570	1.537	0.03319
1.564	1.537	0.02737
1.566	1.558	0.00801
1.587	1.558	0.02950
1.569	1.558	0.01103
1.571	1.558	0.01263
1.587	1.534	0.05308
1.600	1.534	0.06578
1.577	1.534	0.04310
1.547	1.534	0.01296
1.536	1.534	0.00156
1.560	1.534	0.02590
1.581	1.534	0.04729
1.562	1.534	0.02827
1.558	1.534	0.02414
1.520	1.534	0.01405
1.537	1.534	0.00303
1.498	1.534	0.03604
1.735	1.203	0.53164
1.702	1.203	0.49938
1.739	1.202	0.53718
1.562	1.202	0.36042
1.541	1.202	0.33888
1.722	1.188	0.53445
1.641	1.188	0.45302
1.622	1.188	0.43410
1.541	1.188	0.35339
1.660	1.188	0.47209
1.676	1.188	0.48772
1.719	1.188	0.53098
1.665	1.182	0.48310
1.713	1.182	0.53057
1.548	1.182	0.36591
1.552	1.182	0.36987
1.592	1.185	0.40737
1.713	1.185	0.52794
1.681	1.185	0.49561
1.694	1.185	0.50927
1.682	1.185	0.49692
1.490	1.185	0.30546
1.845	1.418	0.42677
1.704	1.418	0.28642
1.691	1.418	0.27298
1.638	1.418	0.21995
1.596	1.418	0.17805
1.584	1.418	0.16585
1.569	1.418	0.15116
1.568	1.418	0.14976
1.576	1.418	0.15816
1.553	1.418	0.13477
1.564	1.418	0.14562
1.526	1.418	0.10778
1.536	1.418	0.11848
1.560	1.418	0.14172
1.582	1.418	0.16354
1.544	1.418	0.12625
1.542	1.418	0.12404
1.588	1.418	0.17012
1.598	1.418	0.17996
1.585	1.420	0.16459
1.582	1.420	0.16246
1.585	1.420	0.16497
1.596	1.420	0.17643
1.587	1.420	0.16729
1.583	1.420	0.16281
1.561	1.420	0.14144
1.581	1.420	0.16123
1.589	1.420	0.16876
1.582	1.420	0.16212
1.605	1.420	0.18497
1.614	1.420	0.19432
1.593	1.420	0.17280
1.615	1.420	0.19475
1.637	1.420	0.21726
1.612	1.420	0.19193
1.602	1.420	0.18212
1.604	1.420	0.18369
1.624	1.420	0.20376
1.624	1.420	0.20448
1.621	1.414	0.20730
1.619	1.414	0.20466
1.619	1.414	0.20492
1.611	1.414	0.19709
1.620	1.414	0.20624
1.625	1.414	0.21109
1.598	1.414	0.18444
1.558	1.414	0.14399
1.552	1.414	0.13764
1.600	1.414	0.18554
1.608	1.414	0.19379
1.578	1.414	0.16398
1.568	1.414	0.15449
1.572	1.414	0.15757
1.594	1.414	0.17969
1.566	1.414	0.15246
1.564	1.414	0.14971
1.540	1.414	0.12561
1.552	1.414	0.13762
1.567	1.414	0.15341
1.591	1.416	0.17538
1.554	1.416	0.13771
1.556	1.416	0.14015
1.575	1.416	0.15863
1.562	1.416	0.14557
1.585	1.416	0.16945
1.565	1.416	0.14886
1.580	1.416	0.16389
1.611	1.416	0.19512
1.611	1.416	0.19465
1.607	1.416	0.19142
1.603	1.416	0.18747
