est_dist(m)	true_dist(m)	squared_error(m^2)
1.635	1.353	0.28245	-20.876%
1.557	1.353	0.20425	-15.096%
1.596	1.353	0.24298	-17.959%
1.607	1.353	0.25446	-18.807%
1.592	1.353	0.23855	-17.632%
1.585	1.353	0.23226	-17.166%
1.583	1.353	0.23016	-17.011%
1.583	1.353	0.22959	-16.969%
1.592	1.353	0.23906	-17.669%
1.607	1.353	0.25368	-18.750%
1.607	1.353	0.25387	-18.764%
1.657	1.353	0.30372	-22.448%
1.598	1.353	0.24482	-18.095%
1.589	1.353	0.23576	-17.425%
1.566	1.353	0.21289	-15.734%
1.632	1.353	0.27875	-20.602%
1.634	1.353	0.28070	-20.747%
1.600	1.353	0.24678	-18.239%
1.571	1.353	0.21823	-16.130%
1.585	1.253	0.33171	-26.473%
1.565	1.253	0.31248	-24.939%
1.562	1.253	0.30894	-24.656%
1.560	1.253	0.30665	-24.473%
1.514	1.253	0.26094	-20.826%
1.524	1.253	0.27135	-21.656%
1.529	1.253	0.27644	-22.062%
1.534	1.253	0.28085	-22.414%
1.526	1.253	0.27344	-21.823%
1.526	1.253	0.27296	-21.784%
1.504	1.253	0.25126	-20.052%
1.519	1.253	0.26621	-21.246%
1.507	1.253	0.25378	-20.254%
1.501	1.253	0.24845	-19.829%
1.538	1.253	0.28488	-22.736%
1.514	1.253	0.26108	-20.836%
1.545	1.253	0.29171	-23.281%
1.584	1.253	0.33092	-26.410%
1.550	1.253	0.29714	-23.714%
1.544	1.253	0.29054	-23.187%
1.571	1.213	0.35801	-29.514%
1.572	1.213	0.35890	-29.588%
1.577	1.213	0.36353	-29.970%
1.585	1.213	0.37207	-30.674%
1.581	1.213	0.36844	-30.374%
1.108	1.213	0.10454	8.618%
1.116	1.213	0.09740	8.030%
2.037	1.213	0.82368	-67.905%
1.552	1.213	0.33930	-27.972%
1.563	1.213	0.35006	-28.859%
1.546	1.213	0.33338	-27.484%
1.540	1.213	0.32726	-26.979%
1.537	1.213	0.32367	-26.684%
1.537	1.213	0.32450	-26.752%
1.551	1.213	0.33818	-27.880%
1.554	1.213	0.34150	-28.153%
1.554	1.213	0.34109	-28.119%
1.553	1.213	0.34027	-28.052%
1.540	1.213	0.32704	-26.961%
1.555	1.217	0.33840	-27.806%
1.096	1.217	0.12105	9.946%
1.595	1.217	0.37845	-31.097%
1.604	1.217	0.38725	-31.820%
1.625	1.217	0.40782	-33.510%
2.039	1.220	0.81948	-67.171%
2.041	1.220	0.82084	-67.282%
2.046	1.220	0.82625	-67.725%
2.044	1.220	0.82418	-67.556%
2.044	1.220	0.82407	-67.547%
2.044	1.220	0.82407	-67.547%
2.044	1.220	0.82443	-67.577%
2.044	1.220	0.82449	-67.581%
2.045	1.220	0.82496	-67.620%
2.045	1.220	0.82524	-67.643%
2.042	1.220	0.82221	-67.394%
1.120	1.223	0.10289	8.413%
1.588	1.223	0.36486	-29.833%
1.593	1.223	0.37036	-30.283%
1.587	1.223	0.36429	-29.786%
1.584	1.223	0.36115	-29.530%
1.556	1.223	0.33318	-27.243%
1.075	1.223	0.14768	12.075%
1.519	1.223	0.29567	-24.176%
1.579	1.223	0.35628	-29.131%
1.577	1.223	0.35364	-28.915%
1.584	1.223	0.36149	-29.558%
1.584	1.223	0.36064	-29.488%
1.591	1.223	0.36827	-30.112%
1.515	1.223	0.29249	-23.916%
1.514	1.223	0.29116	-23.807%
1.502	1.223	0.27861	-22.781%
1.492	1.297	0.19548	-15.072%
1.519	1.297	0.22230	-17.140%
1.487	1.297	0.18953	-14.613%
1.527	1.297	0.23048	-17.770%
1.550	1.297	0.25346	-19.542%
1.570	1.297	0.27262	-21.019%
1.579	1.297	0.28209	-21.749%
1.578	1.297	0.28128	-21.687%
1.610	1.297	0.31332	-24.157%
1.597	1.297	0.30025	-23.150%
1.575	1.297	0.27756	-21.401%
1.569	1.297	0.27190	-20.964%
1.573	1.297	0.27592	-21.273%
1.530	1.297	0.23280	-17.949%
1.562	1.297	0.26451	-20.394%
1.520	1.297	0.22320	-17.209%
1.545	1.297	0.24791	-19.114%
1.538	1.297	0.24094	-18.577%
1.552	1.297	0.25509	-19.668%
1.564	1.297	0.26693	-20.581%
1.497	1.396	0.10146	-7.268%
1.504	1.396	0.10768	-7.713%
1.462	1.396	0.06647	-4.761%
1.494	1.396	0.09755	-6.988%
1.502	1.396	0.10627	-7.613%
1.470	1.396	0.07362	-5.273%
1.468	1.396	0.07182	-5.145%
1.475	1.396	0.07932	-5.682%
1.533	1.396	0.13688	-9.805%
1.497	1.396	0.10052	-7.201%
1.495	1.396	0.09936	-7.118%
1.443	1.396	0.04718	-3.379%
1.603	1.396	0.20741	-14.857%
1.578	1.396	0.18158	-13.007%
1.576	1.396	0.18013	-12.903%
1.571	1.396	0.17540	-12.564%
1.585	1.396	0.18948	-13.573%
1.520	1.396	0.12395	-8.879%
1.523	1.396	0.12722	-9.113%
1.487	1.396	0.09112	-6.527%
1.468	1.647	0.17930	10.886%
1.414	1.647	0.23254	14.119%
1.456	1.647	0.19097	11.595%
1.469	1.647	0.17802	10.809%
1.425	1.647	0.22190	13.473%
1.459	1.647	0.18808	11.419%
1.612	1.647	0.03517	2.135%
1.589	1.647	0.05778	3.508%
1.628	1.647	0.01880	1.141%
1.617	1.647	0.03024	1.836%
1.705	1.647	0.05813	-3.529%
1.725	1.647	0.07842	-4.761%
1.681	1.647	0.03372	-2.047%
1.752	1.647	0.10491	-6.370%
1.802	1.647	0.15466	-9.391%
1.576	1.647	0.07067	4.291%
2.170	1.647	0.52329	-31.772%
2.172	1.647	0.52542	-31.902%
2.170	1.647	0.52294	-31.751%
2.177	1.647	0.53009	-32.185%
2.224	1.826	0.39828	-21.812%
2.229	1.826	0.40309	-22.075%
2.244	1.826	0.41810	-22.897%
2.222	1.826	0.39560	-21.665%
2.233	1.826	0.40678	-22.277%
2.244	1.826	0.41790	-22.886%
2.201	1.826	0.37534	-20.556%
2.190	1.826	0.36399	-19.934%
2.183	1.826	0.35699	-19.550%
2.181	1.826	0.35521	-19.453%
2.188	1.826	0.36209	-19.830%
2.189	1.867	0.32175	-17.233%
2.160	1.867	0.29299	-15.693%
2.165	1.867	0.29768	-15.944%
2.180	1.867	0.31257	-16.742%
2.160	1.867	0.29282	-15.684%
2.158	1.867	0.29052	-15.561%
2.168	1.867	0.30053	-16.097%
2.175	1.867	0.30816	-16.506%
2.171	1.867	0.30385	-16.275%
2.165	1.867	0.29846	-15.986%
2.169	1.867	0.30233	-16.193%
2.172	1.867	0.30543	-16.359%
2.173	1.867	0.30577	-16.378%
2.181	1.867	0.31432	-16.836%
2.181	2.077	0.10395	-5.005%
2.172	2.077	0.09505	-4.577%
2.162	2.077	0.08540	-4.112%
2.170	2.077	0.09333	-4.494%
2.164	2.077	0.08678	-4.178%
2.174	2.077	0.09742	-4.691%
2.157	1.993	0.16354	-8.206%
2.162	1.993	0.16921	-8.490%
2.170	1.993	0.17667	-8.864%
2.158	1.993	0.16535	-8.297%
2.186	1.993	0.19263	-9.665%
2.186	1.993	0.19345	-9.706%
